iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,base
0,200,0.000165095,5.92092e-05,1.37277e-05,0.000230772,8.54734e-05,0.000202885,2.20917e-05,0.000199167,0.000184063,0.000196186,0.000219124,0.000202167,0.00012746,0.000197947,0.000123886,0.000165771,4.70315e-05,0.000118966,0.000196753,0.000195046,7.48973e-05,0.000215691,0.000210057,0.000215439,0.000197068,0.000229871,0.00019582,0.000127081,0.000210033,9.11154e-05,0.00020024,0.00011017,0.000214109,5.55e-05,0.000145359,0.00021777,0.000125631,0.000210057,0.000210057,0.00019422,0.000210057,0.000143385,0.000220908,9.36292e-05,0.000201323,0.000209822,0.000210057,0.000195157,0.000144805,0.000127246,0.000157209,0.000210057,0.000119751,0.000211952,0.000214107,0.000211287,0.00022669,9.67987e-05,0.000211978,8.4124e-05,0.000208348,0.000197237,0.00019632,7.01174e-05,0.000110505,2.95243e-05,0.00012144,0.000210057,8.01365e-05,6.33202e-05,0.000120102,0.0001982,0.000210057,0.000215736,1.37277e-05,0.000220707,0.000206083,0.000217501,0.000210032,0.00023027,8.11092e-05,6.5589e-05,0.000210057,0.000127489,8.86299e-05,0.000210057,8.54454e-05,0.000210057,0.000203258,0.000215662,0.000137721,6.41583e-05,0.000122109,0.000202395,8.56188e-05,6.36966e-05,0.000228858,0.000210057,0.00021968,6.19345e-05,0.00015232,0.000214682,0.000210036,0.000156197,0.000223698,7.54083e-05,8.9568e-05,0.000212458,7.87001e-05,0.000128208,0.000213168,0.000217584,0.000196815,0.00022851,0.000175352,0.000198483,0.000214739,0.000198065,0.000210057,0.000197285,0.000210038,0.000116468,0.000210033,0.000195352,0.000123643,0.000212472,0.000213877,0.000126351,0.000214127,0.000195672,0.000128614,0.000210057,3.2106e-05,8.85692e-05,0.000210053,0.000210057,0.000214296,0.000212629,7.96217e-05,0.00020646,0.000115046,0.00010026,0.000210057,0.000210057,0.000210034,0.000200324,0.000133748,0.000198959,0.00020277,0.000171374,0.000128967,0.000216362,0.000109986,0.000218883,0.000210057,0.000229766,0.000195959,4.18336e-05,0.000210057,0.000227417,8.03871e-05,0.000151534,0.000216742,0.000122303,5.73539e-05,0.000210033,8.64915e-05,3.32243e-05,0.000196083,0.000210953,0.000230772,0.000117353,0.000162061,0.000210034,0.000216098,0.000214417,0.000217089,0.000121339,0.000142723,9.04908e-05,6.55644e-05,0.000226584,0.000197705,2.04884e-05,0.000165254,0.000175231,7.05989e-05,0.00017535,8.24703e-05,0.000226391,0.000211507,0.000202183,0.00021873,0.00022892,0.000210032,0.000202044,0.000128414,0.000210057,0.000125149,0.000217208,8.17954e-05,0.000230156,0.00018745,7.08911e-05
1,440,0.000164989,5.91406e-05,1.37267e-05,0.000230735,8.54672e-05,0.000202631,2.20905e-05,0.00019889,0.00018403,0.000195899,0.000219066,0.000201909,0.000127455,0.000197911,0.000123866,0.000165661,4.70301e-05,0.000118952,0.000196468,0.000194755,7.4897e-05,0.000215484,0.000209848,0.00021523,0.000196783,0.000229832,0.000195531,0.000127075,0.000209824,9.11147e-05,0.000200202,0.000110156,0.000213899,5.54996e-05,0.000145342,0.000217571,0.000125622,0.000209848,0.000209848,0.000194184,0.000209848,0.000143356,0.000220871,9.3622e-05,0.000201056,0.000209582,0.000209848,0.000194866,0.000144778,0.000127225,0.000157119,0.000209848,0.000119733,0.000211736,0.000213897,0.000211236,0.000226652,9.67909e-05,0.000211761,8.41235e-05,0.000208102,0.000196953,0.000196033,7.01171e-05,0.000110488,2.95229e-05,0.000121429,0.000209848,8.01238e-05,6.33124e-05,0.000120088,0.000197919,0.000209848,0.000215529,1.37267e-05,0.000220649,0.000205845,0.000217301,0.000209823,0.000230234,8.1103e-05,6.55888e-05,0.000209848,0.00012747,8.86204e-05,0.000209848,8.54448e-05,0.000209848,0.000203006,0.000215455,0.000137707,6.41516e-05,0.000122093,0.000202338,8.56185e-05,6.3696e-05,0.00022882,0.000209848,0.000219624,6.19337e-05,0.000152289,0.000214471,0.000209827,0.000156146,0.00022366,7.54028e-05,8.95668e-05,0.000212243,7.86915e-05,0.000128189,0.00021313,0.000217385,0.000196529,0.00022845,0.000175319,0.000198204,0.000214528,0.00019801,0.000209848,0.000197001,0.000209829,0.000116457,0.000209824,0.000195062,0.000123634,0.000212435,0.000213821,0.000126332,0.000214069,0.000195383,0.000128608,0.000209848,3.2105e-05,8.85604e-05,0.000209844,0.000209848,0.000214083,0.000212591,7.96137e-05,0.000206403,0.000115032,0.000100249,0.000209848,0.000209848,0.000209825,0.000200052,0.00013373,0.000198924,0.000202515,0.000171325,0.000128948,0.000216157,0.000109969,0.000218845,0.000209848,0.000229727,0.00019567,4.18336e-05,0.000209848,0.000227379,8.03862e-05,0.000151499,0.000216704,0.000122288,5.73532e-05,0.000209824,8.64912e-05,3.32237e-05,0.000195795,0.00021074,0.000230735,0.000117335,0.000162022,0.000209825,0.000215893,0.000214381,0.000216887,0.000121324,0.000142685,9.04904e-05,6.55638e-05,0.000226526,0.000197423,2.04867e-05,0.000165226,0.000175199,7.05982e-05,0.000175317,8.24702e-05,0.00022634,0.00021129,0.000201926,0.000218693,0.000228869,0.000209823,0.000202009,0.000128395,0.000209848,0.000125131,0.000217007,8.17871e-05,0.000230117,0.000187404,7.08757e-05
2,680,0.000164882,5.90712e-05,1.3726e-05,0.00023069,8.54599e-05,0.000202371,2.20897e-05,0.000198611,0.000183994,0.000195609,0.000219,0.000201647,0.00012745,0.000197875,0.000123846,0.000165549,4.70297e-05,0.000118938,0.000196179,0.000194454,7.48965e-05,0.000215273,0.00020964,0.000215023,0.000196495,0.000229788,0.000195239,0.000127069,0.000209616,9.11144e-05,0.000200167,0.000110141,0.000213683,5.54991e-05,0.000145322,0.000217369,0.000125612,0.00020964,0.00020964,0.000194149,0.00020964,0.000143325,0.000220827,9.36152e-05,0.000200793,0.00020934,0.00020964,0.000194566,0.000144745,0.000127204,0.000157028,0.00020964,0.000119714,0.00021152,0.000213681,0.000211176,0.000226609,9.67834e-05,0.000211546,8.41233e-05,0.000207859,0.000196666,0.000195742,7.01165e-05,0.00011047,2.95228e-05,0.000121416,0.00020964,8.01075e-05,6.33027e-05,0.000120073,0.000197636,0.00020964,0.000215319,1.3726e-05,0.000220584,0.000205602,0.000217098,0.000209615,0.000230189,8.10961e-05,6.55882e-05,0.00020964,0.000127452,8.86098e-05,0.00020964,8.54441e-05,0.00020964,0.000202749,0.000215244,0.000137693,6.41426e-05,0.000122076,0.00020228,8.56182e-05,6.36955e-05,0.000228775,0.00020964,0.000219561,6.19327e-05,0.000152252,0.000214261,0.000209618,0.000156096,0.000223617,7.53965e-05,8.95667e-05,0.000212028,7.86816e-05,0.000128168,0.000213088,0.000217182,0.000196241,0.000228382,0.000175289,0.000197922,0.000214318,0.000197955,0.00020964,0.000196715,0.000209621,0.000116446,0.000209615,0.000194769,0.000123625,0.000212393,0.000213759,0.000126312,0.000214004,0.000195091,0.000128602,0.00020964,3.21042e-05,8.85506e-05,0.000209636,0.00020964,0.000213872,0.00021255,7.96048e-05,0.000206346,0.000115016,0.000100237,0.00020964,0.00020964,0.000209617,0.000199777,0.00013371,0.000198887,0.000202255,0.00017128,0.000128927,0.000215949,0.000109951,0.000218803,0.00020964,0.000229683,0.000195379,4.18335e-05,0.00020964,0.000227335,8.03859e-05,0.00015147,0.000216662,0.000122272,5.7352e-05,0.000209616,8.64911e-05,3.32223e-05,0.000195504,0.000210522,0.00023069,0.000117317,0.000161978,0.000209617,0.000215684,0.000214338,0.000216682,0.000121308,0.000142647,9.04903e-05,6.55625e-05,0.000226464,0.000197137,2.04845e-05,0.000165195,0.00017517,7.05979e-05,0.000175287,8.24686e-05,0.000226281,0.000211076,0.000201663,0.000218651,0.000228809,0.000209615,0.000201972,0.000128374,0.00020964,0.000125113,0.000216803,8.17782e-05,0.000230074,0.000187358,7.08598e-05
3,920,0.000164775,5.90031e-05,1.37251e-05,0.000230651,8.54528e-05,0.000202118,2.20888e-05,0.000198325,0.00018396,0.000195312,0.000218942,0.00020139,0.000127442,0.000197839,0.000123823,0.00016544,4.70282e-05,0.000118922,0.00019589,0.000194161,7.48953e-05,0.000215068,0.000209434,0.000214813,0.000196208,0.000229751,0.000194948,0.000127064,0.00020941,9.11143e-05,0.000200126,0.000110125,0.000213473,5.54988e-05,0.000145302,0.000217164,0.000125603,0.000209434,0.000209434,0.000194113,0.000209434,0.000143296,0.00022079,9.3608e-05,0.000200524,0.000209104,0.000209434,0.000194273,0.000144717,0.000127181,0.00015694,0.000209434,0.000119695,0.000211306,0.000213471,0.000211124,0.000226571,9.67749e-05,0.000211331,8.41222e-05,0.000207612,0.000196385,0.000195452,7.01151e-05,0.000110451,2.95216e-05,0.000121403,0.000209434,8.009e-05,6.32945e-05,0.000120057,0.000197353,0.000209434,0.000215114,1.37251e-05,0.000220526,0.000205364,0.000216896,0.000209409,0.000230152,8.10895e-05,6.55877e-05,0.000209434,0.000127431,8.85992e-05,0.000209434,8.54439e-05,0.000209434,0.000202498,0.000215038,0.00013768,6.41351e-05,0.000122058,0.00020222,8.56179e-05,6.36937e-05,0.000228737,0.000209434,0.000219504,6.19312e-05,0.000152216,0.000214047,0.000209412,0.000156095,0.000223579,7.53905e-05,8.95668e-05,0.000211811,7.86713e-05,0.000128148,0.000213051,0.000216981,0.000195952,0.000228323,0.000175256,0.000197634,0.000214105,0.0001979,0.000209434,0.000196422,0.000209415,0.000116434,0.000209409,0.00019447,0.000123615,0.000212356,0.000213702,0.000126289,0.000213946,0.000194793,0.000128595,0.000209434,3.21035e-05,8.85399e-05,0.00020943,0.000209434,0.000213662,0.000212513,7.95956e-05,0.000206283,0.000115,0.000100224,0.000209434,0.000209434,0.000209411,0.000199501,0.000133692,0.000198845,0.000202,0.000171231,0.000128907,0.000215743,0.000109931,0.000218765,0.000209434,0.000229644,0.000195088,4.18319e-05,0.000209434,0.000227296,8.03851e-05,0.000151438,0.000216624,0.000122253,5.7351e-05,0.00020941,8.64896e-05,3.32213e-05,0.000195213,0.000210309,0.000230651,0.000117295,0.000161939,0.000209411,0.000215476,0.0002143,0.000216479,0.00012129,0.00014261,9.049e-05,6.55618e-05,0.000226407,0.000196852,2.04824e-05,0.000165167,0.000175136,7.05971e-05,0.000175254,8.24683e-05,0.00022623,0.000210858,0.000201407,0.000218613,0.000228758,0.000209409,0.000201932,0.000128354,0.000209434,0.000125092,0.0002166,8.17684e-05,0.000230034,0.000187311,7.08449e-05
4,1160,0.000164669,5.89348e-05,1.3725e-05,0.000230608,8.54443e-05,0.000201864,2.20877e-05,0.000198046,0.000183926,0.000195023,0.000218884,0.000201133,0.000127437,0.0001978,0.000123801,0.000165331,4.70272e-05,0.000118905,0.000195608,0.000193869,7.48957e-05,0.000214858,0.000209225,0.000214602,0.000195927,0.000229707,0.000194657,0.000127058,0.0002092,9.11135e-05,0.00020009,0.000110107,0.000213261,5.54986e-05,0.000145282,0.000216964,0.000125593,0.000209225,0.000209225,0.000194076,0.000209225,0.000143265,0.000220753,9.35994e-05,0.000200262,0.000208864,0.000209225,0.000193981,0.000144685,0.000127158,0.000156849,0.000209225,0.000119674,0.000211088,0.000213259,0.000211071,0.000226533,9.67655e-05,0.000211114,8.41214e-05,0.00020737,0.000196099,0.000195168,7.01148e-05,0.000110432,2.95214e-05,0.000121388,0.000209225,8.00766e-05,6.32859e-05,0.00012004,0.000197071,0.000209225,0.000214904,1.3725e-05,0.000220469,0.000205127,0.000216694,0.000209199,0.000230108,8.10831e-05,6.55869e-05,0.000209225,0.00012741,8.85877e-05,0.000209225,8.54436e-05,0.000209225,0.000202247,0.000214829,0.000137665,6.41256e-05,0.00012204,0.000202164,8.56164e-05,6.36932e-05,0.000228695,0.000209225,0.000219448,6.19305e-05,0.000152184,0.000213838,0.000209203,0.000156045,0.000223541,7.53834e-05,8.95666e-05,0.000211595,7.86611e-05,0.000128125,0.000213013,0.000216779,0.000195665,0.000228264,0.000175223,0.000197352,0.000213896,0.000197838,0.000209225,0.000196137,0.000209205,0.000116421,0.0002092,0.000194178,0.000123604,0.000212318,0.000213644,0.000126267,0.000213889,0.000194502,0.000128589,0.000209225,3.21028e-05,8.85287e-05,0.000209221,0.000209225,0.000213447,0.000212475,7.95855e-05,0.000206226,0.000114983,0.000100211,0.000209225,0.000209225,0.000209202,0.000199228,0.000133671,0.00019881,0.000201746,0.000171183,0.000128884,0.00021554,0.000109912,0.000218726,0.000209225,0.000229602,0.000194798,4.18312e-05,0.000209225,0.000227254,8.03844e-05,0.000151408,0.000216587,0.000122235,5.73505e-05,0.0002092,8.64895e-05,3.32204e-05,0.000194924,0.000210096,0.000230608,0.000117275,0.000161898,0.000209201,0.000215272,0.000214263,0.000216275,0.000121272,0.000142572,9.04886e-05,6.55612e-05,0.00022635,0.000196568,2.04804e-05,0.000165137,0.000175103,7.05963e-05,0.00017522,8.24682e-05,0.000226178,0.000210646,0.00020115,0.000218577,0.000228699,0.000209199,0.000201897,0.000128331,0.000209225,0.000125073,0.000216396,8.1759e-05,0.000229992,0.000187265,7.08299e-05
5,1400,0.000164563,5.88672e-05,1.37238e-05,0.000230568,8.54358e-05,0.00020161,2.20867e-05,0.000197768,0.000183891,0.000194735,0.000218818,0.000200875,0.000127432,0.000197763,0.000123778,0.000165222,4.70266e-05,0.000118888,0.000195322,0.000193577,7.48955e-05,0.000214653,0.00020902,0.000214396,0.000195642,0.000229669,0.000194367,0.000127054,0.000208995,9.11128e-05,0.000200055,0.000110089,0.000213046,5.54982e-05,0.000145262,0.000216764,0.000125582,0.00020902,0.00020902,0.000194037,0.00020902,0.000143231,0.000220709,9.35919e-05,0.000200001,0.00020863,0.00020902,0.00019369,0.000144657,0.000127133,0.000156758,0.00020902,0.000119653,0.000210872,0.000213044,0.000211019,0.00022649,9.67579e-05,0.000210898,8.41211e-05,0.000207124,0.000195814,0.000194881,7.0114e-05,0.000110411,2.95201e-05,0.000121373,0.00020902,8.00595e-05,6.32781e-05,0.000120024,0.000196788,0.00020902,0.0002147,1.37238e-05,0.000220406,0.000204889,0.000216493,0.000208994,0.000230069,8.10751e-05,6.55872e-05,0.00020902,0.000127388,8.85759e-05,0.00020902,8.54433e-05,0.00020902,0.000201995,0.000214624,0.000137652,6.41172e-05,0.000122021,0.000202106,8.56159e-05,6.36929e-05,0.000228656,0.00020902,0.000219384,6.19302e-05,0.000152147,0.00021363,0.000208997,0.000155995,0.000223497,7.53763e-05,8.95658e-05,0.000211384,7.86494e-05,0.000128103,0.000212976,0.000216578,0.000195384,0.000228198,0.000175192,0.000197072,0.000213688,0.000197784,0.00020902,0.000195852,0.000209,0.000116407,0.000208994,0.000193888,0.000123594,0.000212281,0.000213588,0.000126244,0.000213831,0.000194212,0.000128581,0.00020902,3.21016e-05,8.85172e-05,0.000209016,0.00020902,0.000213237,0.000212439,7.95752e-05,0.000206169,0.000114965,0.000100198,0.00020902,0.00020902,0.000208996,0.00019896,0.000133653,0.000198772,0.000201491,0.00017114,0.000128861,0.000215335,0.000109892,0.000218685,0.00020902,0.000229563,0.000194509,4.18311e-05,0.00020902,0.000227217,8.0384e-05,0.000151379,0.000216545,0.000122216,5.735e-05,0.000208995,8.64888e-05,3.32187e-05,0.000194634,0.000209879,0.000230568,0.000117253,0.000161853,0.000208996,0.000215066,0.000214223,0.000216072,0.000121254,0.000142535,9.04885e-05,6.55606e-05,0.000226286,0.000196284,2.04785e-05,0.000165109,0.00017507,7.05956e-05,0.00017519,8.24681e-05,0.00022612,0.000210428,0.000200893,0.000218535,0.000228647,0.000208994,0.000201858,0.000128309,0.00020902,0.000125051,0.000216194,8.17489e-05,0.000229954,0.000187219,7.0814e-05
6,1640,0.000164456,5.87998e-05,1.37236e-05,0.000230529,8.54271e-05,0.000201357,2.20857e-05,0.000197491,0.000183856,0.000194447,0.000218761,0.000200619,0.000127426,0.000197725,0.000123755,0.000165114,4.70252e-05,0.00011887,0.000195039,0.000193286,7.48947e-05,0.000214446,0.000208813,0.000214188,0.000195356,0.00022963,0.000194077,0.000127047,0.000208787,9.1112e-05,0.000200016,0.000110072,0.000212837,5.54974e-05,0.000145245,0.000216568,0.00012557,0.000208813,0.000208813,0.000194002,0.000208813,0.000143201,0.000220672,9.35839e-05,0.000199733,0.000208389,0.000208813,0.000193399,0.000144628,0.000127108,0.000156668,0.000208813,0.000119631,0.00021066,0.000212835,0.00021096,0.000226452,9.67481e-05,0.000210685,8.41206e-05,0.000206882,0.000195534,0.000194592,7.01126e-05,0.00011039,2.95199e-05,0.000121358,0.000208813,8.00425e-05,6.32692e-05,0.000120006,0.000196513,0.000208813,0.000214492,1.37236e-05,0.000220346,0.000204652,0.000216292,0.000208786,0.000230029,8.10673e-05,6.55867e-05,0.000208813,0.000127365,8.85625e-05,0.000208813,8.54425e-05,0.000208813,0.000201744,0.000214416,0.000137636,6.41094e-05,0.000122,0.000202049,8.56161e-05,6.36909e-05,0.000228617,0.000208813,0.000219328,6.19292e-05,0.000152116,0.000213417,0.00020879,0.000155945,0.000223461,7.53693e-05,8.95653e-05,0.000211169,7.86374e-05,0.000128078,0.000212935,0.000216377,0.000195098,0.000228137,0.000175161,0.000196792,0.000213476,0.000197728,0.000208813,0.000195568,0.000208793,0.000116393,0.000208787,0.000193597,0.000123583,0.000212239,0.000213526,0.00012622,0.000213767,0.000193922,0.000128575,0.000208813,3.21011e-05,8.85055e-05,0.000208808,0.000208813,0.000213028,0.000212397,7.9565e-05,0.000206112,0.000114947,0.000100183,0.000208813,0.000208813,0.000208789,0.000198687,0.000133632,0.000198738,0.000201232,0.00017109,0.000128837,0.000215129,0.000109871,0.000218646,0.000208813,0.000229523,0.000194219,4.18303e-05,0.000208813,0.000227178,8.03838e-05,0.000151343,0.000216508,0.000122196,5.73482e-05,0.000208787,8.64886e-05,3.32181e-05,0.000194345,0.000209665,0.000230529,0.00011723,0.000161814,0.000208789,0.000214863,0.000214183,0.000215869,0.000121235,0.000142497,9.04884e-05,6.55588e-05,0.000226229,0.000196,2.04764e-05,0.000165083,0.000175042,7.05952e-05,0.000175158,8.24666e-05,0.000226069,0.000210215,0.000200636,0.000218497,0.000228593,0.000208787,0.000201823,0.000128284,0.000208813,0.000125028,0.000215992,8.17388e-05,0.000229914,0.000187172,7.0799e-05
7,1700,0.000164446,5.87933e-05,1.37236e-05,0.000230529,8.54271e-05,0.000201357,2.20857e-05,0.000197491,0.000183856,0.000194447,0.000218761,0.000200619,0.000127426,0.000197725,0.000123755,0.000165114,4.70252e-05,0.00011887,0.000195039,0.000192996,7.48947e-05,0.000214446,0.000208813,0.000214188,0.000195356,0.000229587,0.000194077,0.000127047,0.000208787,9.1112e-05,0.000199981,0.000110072,0.000212837,5.54974e-05,0.000145245,0.000216568,0.00012557,0.000208813,0.000208813,0.000194002,0.000208813,0.000143201,0.000220672,9.35839e-05,0.000199733,0.000208389,0.000208813,0.000193399,0.000144628,0.000127108,0.000156668,0.000208813,0.000119631,0.00021066,0.000212835,0.00021096,0.00022641,9.67481e-05,0.000210685,8.41206e-05,0.000206643,0.000195534,0.000194592,7.01126e-05,0.00011039,2.95199e-05,0.000121358,0.000208813,8.00425e-05,6.32692e-05,0.000120006,0.000196513,0.000208813,0.000214288,1.37236e-05,0.000220346,0.000204652,0.000216292,0.000208786,0.000230029,8.10673e-05,6.55867e-05,0.000208813,0.000127365,8.85625e-05,0.000208813,8.54425e-05,0.000208813,0.000201744,0.000214416,0.000137636,6.41094e-05,0.000122,0.000202049,8.56161e-05,6.36909e-05,0.000228617,0.000208813,0.000219328,6.19292e-05,0.000152116,0.000213417,0.00020879,0.000155945,0.000223418,7.53693e-05,8.95653e-05,0.000211169,7.86374e-05,0.000128078,0.000212935,0.000216377,0.000195098,0.000228137,0.000175161,0.000196792,0.000213476,0.000197728,0.000208813,0.000195568,0.000208793,0.000116393,0.000208584,0.000193597,0.000123583,0.000212239,0.000213526,0.00012622,0.000213767,0.000193922,0.000128568,0.000208813,3.21011e-05,8.85055e-05,0.000208808,0.000208813,0.000213028,0.000212359,7.9565e-05,0.000206112,0.000114929,0.000100183,0.00020861,0.000208813,0.000208587,0.000198687,0.000133632,0.000198738,0.000201232,0.00017109,0.000128837,0.000215129,0.000109871,0.000218646,0.000208813,0.000229523,0.000194219,4.18303e-05,0.000208813,0.000227178,8.03838e-05,0.000151343,0.000216508,0.000122196,5.73482e-05,0.000208787,8.64886e-05,3.32181e-05,0.000194345,0.000209665,0.000230529,0.000117207,0.000161814,0.000208789,0.000214863,0.000214183,0.000215869,0.000121235,0.000142461,9.04884e-05,6.55588e-05,0.000226229,0.000195725,2.04764e-05,0.000165083,0.000175042,7.05952e-05,0.000175158,8.24666e-05,0.000226069,0.000210215,0.000200636,0.000218458,0.000228535,0.000208787,0.000201823,0.000128284,0.000208813,0.000125028,0.000215992,8.17388e-05,0.000229914,0.000187172,7.07829e-05
8,1940,0.000164341,5.87267e-05,1.37226e-05,0.000230485,8.54191e-05,0.000201105,2.20851e-05,0.000197215,0.000183822,0.000194166,0.000218702,0.000200364,0.00012742,0.00019769,0.000123731,0.000165006,4.70241e-05,0.000118853,0.000194756,0.000192705,7.48942e-05,0.000214241,0.00020861,0.000213982,0.000195078,0.000229548,0.000193789,0.000127041,0.000208585,9.11117e-05,0.000199945,0.000110052,0.000212627,5.54977e-05,0.000145225,0.000216368,0.000125558,0.00020861,0.00020861,0.000193966,0.00020861,0.000143172,0.000220635,9.3575e-05,0.000199472,0.000208155,0.00020861,0.000193109,0.000144596,0.000127081,0.000156579,0.00020861,0.000119609,0.000210445,0.000212625,0.000210908,0.000226371,9.67388e-05,0.000210471,8.41197e-05,0.000206397,0.000195252,0.000194311,7.01123e-05,0.00011037,2.95184e-05,0.000121342,0.00020861,8.00259e-05,6.32614e-05,0.000119987,0.000196233,0.00020861,0.00021408,1.37226e-05,0.000220288,0.000204416,0.000216091,0.000208584,0.000229986,8.10595e-05,6.55862e-05,0.00020861,0.000127343,8.85496e-05,0.00020861,8.54424e-05,0.00020861,0.000201494,0.000214212,0.000137621,6.40997e-05,0.000121979,0.000201993,8.56159e-05,6.36907e-05,0.000228575,0.00020861,0.00021927,6.1928e-05,0.000152079,0.000213211,0.000208588,0.000155944,0.00022338,7.53621e-05,8.95651e-05,0.000210955,7.86252e-05,0.000128055,0.000212898,0.000216177,0.000194812,0.000228072,0.000175128,0.000196519,0.000213269,0.000197672,0.00020861,0.000195291,0.000208591,0.000116378,0.000208377,0.000193308,0.00012357,0.000212203,0.000213468,0.000126194,0.000213708,0.00019364,0.000128562,0.00020861,3.21e-05,8.84923e-05,0.000208606,0.00020861,0.000212819,0.000212322,7.95537e-05,0.000206048,0.000114909,0.000100168,0.000208403,0.00020861,0.000208379,0.000198414,0.000133615,0.000198701,0.000200979,0.000171046,0.000128813,0.000214928,0.000109848,0.000218609,0.00020861,0.000229482,0.000193932,4.183e-05,0.00020861,0.000227134,8.03842e-05,0.000151312,0.00021647,0.000122177,5.73478e-05,0.000208585,8.64874e-05,3.32173e-05,0.000194059,0.000209453,0.000230485,0.000117184,0.000161774,0.000208586,0.000214657,0.000214147,0.000215671,0.000121214,0.000142424,9.04882e-05,6.55586e-05,0.000226166,0.000195442,2.04745e-05,0.000165052,0.000175009,7.05935e-05,0.000175126,8.24665e-05,0.000226011,0.000210004,0.000200381,0.000218416,0.000228481,0.000208584,0.000201785,0.000128261,0.00020861,0.000125006,0.00021579,8.17279e-05,0.000229872,0.000187126,7.07683e-05
9,2000,0.000164327,5.87165e-05,1.37226e-05,0.000230485,8.54191e-05,0.000201105,2.20851e-05,0.000197215,0.000183822,0.000194166,0.000218702,0.000200364,0.00012742,0.00019769,0.000123731,0.000165006,4.70241e-05,0.000118853,0.000194756,0.000192416,7.48942e-05,0.000214241,0.00020861,0.000213982,0.000195078,0.000229548,0.000193789,0.000127041,0.000208585,9.11117e-05,0.000199945,0.000110052,0.000212627,5.54977e-05,0.000145225,0.000216368,0.000125558,0.000208406,0.00020861,0.000193966,0.00020861,0.000143172,0.000220591,9.3575e-05,0.000199472,0.000208155,0.00020861,0.000193109,0.000144596,0.000127081,0.000156579,0.00020861,0.000119609,0.000210445,0.000212625,0.000210908,0.000226371,9.67388e-05,0.000210471,8.41197e-05,0.000206397,0.000194973,0.000194311,7.01123e-05,0.00011037,2.95184e-05,0.000121342,0.000208406,8.00111e-05,6.32614e-05,0.000119987,0.000196233,0.00020861,0.00021408,1.37226e-05,0.000220288,0.000204185,0.000216091,0.000208584,0.000229986,8.10595e-05,6.55862e-05,0.00020861,0.000127343,8.85496e-05,0.00020861,8.54424e-05,0.000208406,0.000201494,0.000214004,0.000137621,6.40997e-05,0.000121979,0.000201993,8.56159e-05,6.36907e-05,0.000228575,0.00020861,0.00021927,6.1928e-05,0.000152079,0.000213211,0.000208588,0.000155944,0.00022338,7.53621e-05,8.95651e-05,0.000210955,7.86252e-05,0.000128055,0.000212898,0.000216177,0.000194812,0.00022801,0.000175128,0.000196519,0.000213269,0.000197672,0.00020861,0.000195291,0.000208591,0.000116378,0.000208377,0.000193308,0.00012357,0.000212165,0.000213468,0.000126194,0.000213708,0.00019364,0.000128562,0.00020861,3.21e-05,8.84923e-05,0.000208606,0.00020861,0.000212819,0.000212322,7.95537e-05,0.000206048,0.000114909,0.000100168,0.000208403,0.000208406,0.000208379,0.000198414,0.000133615,0.000198701,0.000200979,0.000171046,0.000128813,0.000214722,0.000109826,0.000218609,0.00020861,0.000229482,0.000193932,4.183e-05,0.00020861,0.000227134,8.03842e-05,0.000151312,0.000216428,0.000122177,5.73478e-05,0.000208585,8.64874e-05,3.32173e-05,0.000194059,0.000209453,0.000230485,0.000117184,0.000161774,0.000208586,0.000214454,0.000214147,0.000215671,0.000121214,0.000142424,9.04882e-05,6.55586e-05,0.000226166,0.000195442,2.04745e-05,0.000165024,0.000175009,7.05935e-05,0.000175126,8.24665e-05,0.000226011,0.000210004,0.000200381,0.000218416,0.000228481,0.000208584,0.000201785,0.000128261,0.000208406,0.000125006,0.000215593,8.17279e-05,0.000229872,0.000187126,7.07532e-05
